Bus,,,,,,,,,,,,,,,,,,
Number,Name,Area Name,Sub ID,Sub Name,Sub Num,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
43049,BOARD F,NORTHWEST,3337407727,Boardman (PGE),337407727,500,1.08,540,-7.94,,,,,,0,0,40,451
40585,JOHN DAY,NORTHWEST,3337415584,John Day Ph,337415584,500,1.08,540,-11.97,,,,,0,0,0,40,404
40061,ASHE,NORTHWEST,3337406571,Ashe,337406571,500,1.08,540,-3.46,,,,,0,0,0,40,404
40683,LOW MON,NORTHWEST,3337417166,Lower Monumental,337417166,500,1.08,540,0.39,,,,,0,0,0,40,407
40233,CHIEF JO,NORTHWEST,3337409315,Chief Joseph,337409315,500,1.08,540,1.57,,,,,,0,0,40,403
40287,COULEE,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08,540,3.8,,,,,,0,0,40,403
40679,LOW GRAN,NORTHWEST,3337417159,Lower Granite,337417159,500,1.08,540,4.21,,,,,,0,0,40,407
40665,LIT GOOS,NORTHWEST,3337416875,Little Goose,337416875,500,1.08,540,2.67,,,,,,0,0,40,407
623207,COLSTRIP 500,MONTANA,,,,500,1.08,540,34.45,28.69,-329.09,,,,0,0,62,628
44166,CHJ PH5,NORTHWEST,3337409315,Chief Joseph,337409315,500,1.0799,539.948,1.62,-4.72,-226.82,,,,0,0,40,403
44167,CHJ PH6,NORTHWEST,3337409315,Chief Joseph,337409315,500,1.07988,539.939,1.65,-9.49,-454.62,,,,0,0,40,403
44237,LWG PH1,NORTHWEST,3337417159,Lower Granite,337417159,500,1.07985,539.927,4.27,0,-527.52,,,,0,0,40,407
30019,ROUTAB22,PG AND E,3337424710,Table Mt.,337424710,500,1.07976,539.881,-35.33,,,,,,0,0,30,300
30017,ROUTAB12,PG AND E,3337424710,Table Mt.,337424710,500,1.07968,539.838,-35.3,,,,,,0,0,30,300
44257,LMN PH1,NORTHWEST,3337417166,Lower Monumental,337417166,500,1.07966,539.829,0.48,0,-517.98,,,,0,0,40,407
44217,LGS PH1,NORTHWEST,3337416876,Little Goose Ph,337416876,500,1.07964,539.818,2.85,0,-517.96,,,,0,0,40,407
26079,TOLUCA,LADWP,30050288,Toluca,30050288,500,1.07933,539.664,-46.27,1219.14,-251.88,,,,0,0,26,286
40288,COULE R1,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.07928,539.639,3.85,,,,,-288.76,0,0,40,403
40723,MCNARY,NORTHWEST,3337417877,McNary,337417877,500,1.0792,539.6,-4.81,,,,,,0,0,40,404
40521,HATWAI,NORTHWEST,3337414433,Hatwai,337414433,500,1.07905,539.525,4.9,,,,,,0,0,40,407
623512,BROADVIEW,MONTANA,,,,500,1.07897,539.486,27.43,325.74,-67.79,,,,0,0,62,623
51663,KDY 5C2G,B.C.HYDRO,3337415837,Kennedy Capacitor Station,337415837,500,1.07882,539.412,-9.08,,,,,,0,0,50,500
47638,HERMCALP,NORTHWEST,3337414608,Hermiston Power Project,337414608,500,1.0788,539.398,-3.97,,,,,,0,0,40,404
44089,JDA PH4,NORTHWEST,3337415584,John Day Ph,337415584,500,1.07876,539.381,-11.75,0,-260.4,,,,0,0,40,404
51662,KDY 5C1G,B.C.HYDRO,3337415837,Kennedy Capacitor Station,337415837,500,1.07875,539.376,-9.08,,,,,,0,0,50,500
18452,CRSTL N,NEVADA,3337410409,Crystal River,337410409,500,1.07859,539.293,-24.15,,,,,,0,0,18,184
40592,GRIJOH21,NORTHWEST,3337415779,Keeler,337415779,500,1.07854,539.269,-11.86,,,,,,0,0,40,405
30073,GATMID11,PG AND E,3337418181,Midway Peaker (MIDWAY),337418181,500,1.07843,539.216,-39.36,,,,,,0,0,30,300
40588,GRIJOH11,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.0784,539.202,-11.82,,,,,,0,0,40,405
44086,JDA PH1,NORTHWEST,3337415584,John Day Ph,337415584,500,1.0782,539.102,-11.67,0,-261.29,,,,0,0,40,404
44087,JDA PH2,NORTHWEST,3337415584,John Day Ph,337415584,500,1.0782,539.102,-11.67,0,-261.06,,,,0,0,40,404
