Bus Num,Bus Name,Sub ID,Sub Name,Sub Num
26079,TOLUCA,30050288,Toluca,30050288
44166,CHJ PH5,3337409315,Chief Joseph,337409315
44167,CHJ PH6,3337409315,Chief Joseph,337409315
44237,LWG PH1,3337417159,Lower Granite,337417159
30019,ROUTAB22,3337424710,Table Mt.,337424710
44257,LMN PH1,3337417166,Lower Monumental,337417166
44217,LGS PH1,3337416876,Little Goose Ph,337416876
30017,ROUTAB12,3337424710,Table Mt.,337424710
40288,COULE R1,3337413746,Grand Coulee,337413746
40723,MCNARY,3337417877,McNary,337417877
40521,HATWAI,3337414433,Hatwai,337414433
623512,BROADVIEW,,,
51663,KDY 5C2G,3337415837,Kennedy Capacitor Station,337415837
47638,HERMCALP,3337414608,Hermiston Power Project,337414608
44089,JDA PH4,3337415584,John Day Ph,337415584
51662,KDY 5C1G,3337415837,Kennedy Capacitor Station,337415837
26062,RINALDI,3337421907,Rinaldi,337421907
18452,CRSTL N,3337410409,Crystal River,337410409
40592,GRIJOH21,3337415779,Keeler,337415779
40588,GRIJOH11,3337414038,Grizzly Power,337414038
30073,GATMID11,3337418181,Midway Peaker (MIDWAY),337418181
44086,JDA PH1,3337415584,John Day Ph,337415584
44087,JDA PH2,3337415584,John Day Ph,337415584
44088,JDA PH3,3337415584,John Day Ph,337415584
50560,KDS 500,3337415837,Kennedy Capacitor Station,337415837
41070,GARTAF12,3337413294,Garrison,337413294
41074,GARTAF22,3337407118,Beaver,337407118
50649,CRK 5C1K,3337410290,Creekside Cap. Stn.,337410290
26133,NAVCRY12,3337416825,Linde Wilmington,337416825
30020,OLINDA,3337419925,Olinda,337419925
41001,SNOK TAP,3337423567,Sno-king,337423567
26115,RINALDI2,3337421907,Rinaldi,337421907
40369,DWORSHAK,3337411304,Dworshak,337411304
40966,ECHSCH12,3337411565,Echo Lake,337411565
40972,RAVSCH11,3337421613,Raver,337421613
623309,BROADVIEW A,,,
30041,TABTES11,3337424710,Table Mt.,337424710
40974,RAVSCH12,3337422960,Schultz,337422960
623310,BROADVIEW B,,,
40091,BELL BPA,3337407193,Bell,337407193
40749,MONROE,3337418498,Monroe,337418498
40970,ECHSCH13,3337422960,Schultz,337422960
30050,LOSBANOS,3337420295,Panoche (Los Banos Peaker),337420295
41007,SNOKING,3337423567,Sno-king,337423567
30031,TABVAC11,3337424710,Table Mt.,337424710
41066,DWOTAF12,3337413294,Garrison,337413294
30043,TABTES12,3337428867,Tesla Peaker,337428867
51675,AMC 5C2N,3337406252,American Creek Capacitor Station,337406252
40752,CUSMON11,3337410472,Custer,337410472
51674,AMC 5C1N,3337406252,American Creek Capacitor Station,337406252
40553,HOT SPR,3337414947,Hot Springs,337414947
30040,TESLA,3337428867,Tesla Peaker,337428867
30060,MIDWAY,3337418181,Midway Peaker (MIDWAY),337418181
40754,CUSMON21,3337410472,Custer,337410472
26134,CRYMCC11,3337413733,Gramercy,337413733
64895,ROBINSON,,,
30044,VACTES11,3337408507,Calpeak Vaca Dixon No. 1,337408507
40750,CHIMON11,3337409315,Chief Joseph,337409315
30067,MIDWIR31,3337418181,Midway Peaker (MIDWAY),337418181
50648,CHP 5C1K,3337409130,Chapmans Capacitor Station,337409130
51672,MLS 5C3K,3337417859,Mcleese Capacitor Station,337417859
18451,NWEST,3337419617,North West,337419617
30056,LOSGAT11,3337413317,Gates Peaker,337413317
30057,DIABLO,3337410921,Diablo Canyon,337410921
30071,LOSMID12,3337418181,Midway Peaker (MIDWAY),337418181
51789,TXW 31H,3337428882,Texada Island West Cable Terminal,337428882
51792,TXW 29H,3337428882,Texada Island West Cable Terminal,337428882
30025,MAXWELL,3341136469,Maxwell,341136469
19038,MEAD,3337417895,Mead,337417895
54158,LANGDON2,3337416457,Langdon,337416457
24078,MOEELD12,3337411689,Eldorado,337411689
54658,1201TAP,,,
14007,GILARIVR,3337413448,Gila River Power Station,337413448
54456,BENNETT2,,,
51670,MLS 5C1K,3337417859,Mcleese Capacitor Station,337417859
51671,MLS 5C2K,3337417859,Mcleese Capacitor Station,337417859
51790,CCB 29H,3337408670,Cape Cockburn Cable Terminal,337408670
24086,LUGO,3337417212,Lugo,337417212
51704,CCB 31H,3337408670,Cape Cockburn Cable Terminal,337408670
51791,TXE 29H,3337428880,Texada Island East Cable Terminal,337428880
51708,TXE 31H,3337428880,Texada Island East Cable Terminal,337428880
51470,NCT 29H,3337419363,Nile Creek Terminal,337419363
50116,TIR 29R,3337428881,Texada Island Reactor,337428881
50048,TIR 31R,3337428881,Texada Island Reactor,337428881
51793,NCT 31H,3337419363,Nile Creek Terminal,337419363
14002,MOENKOPI,3337418445,Moenkopi,337418445
30061,MIDVIN11,3337418181,Midway Peaker (MIDWAY),337418181
30068,MIDWIR32,3337418181,Midway Peaker (MIDWAY),337418181
30063,MIDVIN21,3337418181,Midway Peaker (MIDWAY),337418181
14001,FOURCORN,3337412567,Four Corners (AZPS),337412567
24156,VINCENT,3337431660,Vincent,337431660
51677,GUI 5C1N,3337419352,Nicola,337419352
51652,CHP 5C1C,3337409130,Chapmans Capacitor Station,337409130
24117,LUGMOH12,3337417212,Lugo,337417212
24097,MOHAVE,3337418451,Mohave,337418451
18461,LAUGHLIN1,3337418451,Mohave,337418451
18462,LAUGHLIN2,3337418451,Mohave,337418451
23315,OCOSUN11,Sub52000083,Suncrest,52000083
14003,NAVAJO,3337419093,Navajo (SRP),337419093
50878,SYA 5C2N,,,
50877,SYA 5C1N,,,
26105,VICTORVL,3337431618,Victorville,337431618
26275,ADL PF BUS 2,,,
29400,ANTELOPE,3337406372,Antelope Valley Solar Ranch,337406372
50370,DMR 500,3337411257,Dunsmuir,337411257
50700,MCA 500,3337418091,Mica,337418091
26276,ADL PF BUS 3,,,
40601,KEELER,3337415779,Keeler,337415779
26044,MARKETPL,3337417588,Marketplace,337417588
26120,MKTPSVC,3337417588,Marketplace,337417588
26274,ADL PF BUS 1,,,
26277,ADL PF BUS 4,,,
26119,ADELSVC,3337405877,Adelanto,337405877
26003,ADELANTO,3337405877,Adelanto,337405877
14018,DUGAS,Found road,Dugas,52000046
41064,DWOTAF11,3337424728,Taft,337424728
26048,MCCULLGH,3337417809,McCullough,337417809
30045,MOSSLAND,3337418723,Moss Landing (DUENNO),337418723
15089,JOJOBA,3337415619,Jojoba,337415619
26012,ADELANTY,3337405877,Adelanto,337405877
26011,ADELANTX,3337405877,Adelanto,337405877
24095,ELDLUG11,3337418451,Mohave,337418451
24042,ELDORDO,3337411689,Eldorado,337411689
22888,SNCRSMP1,Sub52000083,Suncrest,52000083
22889,SNCRSMP2,Sub52000083,Suncrest,52000083
14016,PNPKAPS,3337420821,Pinnacle Peak APS,337420821
15021,PALOVRDE,3337420266,Palo Verde,337420266
29402,WIRLWIND,3337406372,Antelope Valley Solar Ranch,337406372
14014,CEDARMT,Found Mountain,Cedar Mountain,52000004
14009,REDHAWK,3337421699,Redhawk 1 & 2,337421699
15088,PINAL_W,3337420765,Pinal West,337420765
15180,AVSOLAR,,,
15092,ARLINTON,3337406487,Arlington Valley,337406487
15090,HASSYAMP,3337414411,Hassayampa,337414411
15094,MESQUITE,3337418040,Mesquite Power,337418040
50046,MSA 500,3337417420,Malaspina,337417420
15095,MESQUIT2,,,
30042,METCALF,3337418053,Metcalf Energy Center,337418053
56510,KEEPHIL3,3337415785,Keephills,337415785
54610,KEEPHIL2,3337415785,Keephills,337415785
55615,HTHFIELD,,,
55614,HRTLAND2,,,
54273,HRTLAND1,No idea,Heartland,52000373
54258,ELLERSL2,3337411753,Ellerslie,337411753
14011,MORGAN,3349560949,Raceway,349560949
