Sub Name,Sub ID,Area Name,Latitude,Longitude
Custer,3337410472,NORTHWEST,48.9,-122.62
Dalreed,3337410535,NORTHWEST,45.76,-120
Delridge,3337410784,NORTHWEST,47.55,-122.37
Detroit,3337410875,NORTHWEST,44.72,-122.25
Diablo,3337410919,NORTHWEST,48.71,-121.13
Dixonville,3337411001,NORTHWEST,43.21,-123.24
Douglas,3337411112,NORTHWEST,47.53,-120.29
Driscoll,3337411162,NORTHWEST,46.15,-123.41
Dry Gulch,3337411184,NORTHWEST,46.4,-117.21
Duwamish,3337411301,NORTHWEST,47.51,-122.31
Dworshak,3337411304,NORTHWEST,46.51,-116.3
East Omak,3337411468,NORTHWEST,48.43,-119.5
Eastpine,3337411547,NORTHWEST,47.61,-122.3
Echo Lake,3337411565,NORTHWEST,47.49,-121.87
Fairmount,3337412085,NORTHWEST,47.98,-122.88
Fairview,3337412090,NORTHWEST,43.21,-124.07
Flathead,3337412334,NORTHWEST,48.29,-114.24
Franklin,3337412618,NORTHWEST,46.23,-119.04
Fredonia (PSPL),3337412666,NORTHWEST,48.56,-122.33
Frenchman Hills (USBR),3337412707,NORTHWEST,46.95,-119.58
Fry,3337413143,NORTHWEST,44.59,-123.04
Garrison,3337413294,NORTHWEST,46.51,-112.89
Glendale,3337413533,ARIZONA,39.52,-119.73
Goodnoe,3337413640,NORTHWEST,45.79,-120.56
Gorge (SCL),3337413681,NORTHWEST,48.7,-121.21
Grand Coulee,3337413746,NORTHWEST,47.95,-119
Grants Pass,3337413829,NORTHWEST,42.45,-123.28
Grays Harbor Energy Facility,3337413854,NORTHWEST,47,-123.48
Green Valley,3337413928,NORTHWEST,43.42,-123.36
Gresham,3337414013,NORTHWEST,45.49,-122.46
Grizzly Power,3337414038,NORTHWEST,44.48,-121.02
Hanford,3337414242,NORTHWEST,46.67,-119.57
Hanna,3337414255,NORTHWEST,42.94,-123.42
Happy Valley,3337414273,NORTHWEST,43.55,-116.51
Harvalum,3337414395,NORTHWEST,45.73,-120.71
Haskill,3337414409,NORTHWEST,48.11,-114.64
Hat Rock,3337414421,NORTHWEST,45.92,-119.11
Hatwai,3337414433,NORTHWEST,46.47,-116.91
Hermiston Power Project,3337414608,NORTHWEST,45.79,-119.31
Hilltop,3337414741,SIERRA,41.51,-120.63
Horse Heaven,3337414923,NORTHWEST,45.93,-119.63
Hot Springs,3337414947,NORTHWEST,47.58,-114.63
Hungry Horse,3337415035,NORTHWEST,48.34,-114.02
Intalco,3337415252,NORTHWEST,48.85,-122.7
J.C. Boyle,3337415400,NORTHWEST,42.09,-122.08
John Day Ph,3337415584,NORTHWEST,45.71,-120.69
Keeler,3337415779,NORTHWEST,45.55,-122.89
Kitsap,3337416058,NORTHWEST,47.53,-122.7
Kittitas Valley Wind Power Project,3337416063,NORTHWEST,47.06,-120.41
Klondike Wind Farm,3337416080,NORTHWEST,45.59,-120.52
La Pine,3337416186,NORTHWEST,43.61,-121.47
Lake View,3337416353,NORTHWEST,47.96,-116.46
Lancaster,3337416431,NORTHWEST,47.81,-116.83
Lane,3337416446,NORTHWEST,31.72,-106.3
Larson,3337416493,NORTHWEST,47.19,-119.28
Lexington,3337416735,NORTHWEST,46.18,-122.91
Libby - PACIF,3337416751,NORTHWEST,48.39,-115.3
Libby - USCEPD,3337416752,NORTHWEST,48.39,-115.31
