Branch,,,,,,,,,,,,,,
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
14008,FOUMOE11,14002,MOENKOPI,1,Closed,Series Cap,NO,693.4,80.3,698,1568,44.5,0,-43.77
14010,NAVMOE11,14002,MOENKOPI,1,Closed,Series Cap,NO,669.4,54.9,671.7,1628.1,41.6,0,-51.43
14002,MOENKOPI,14015,MOECED11,1,Closed,Series Cap,NO,367.8,26,368.7,1949,20.1,0,-14.21
14002,MOENKOPI,24060,MOEELD11,1,Closed,Series Cap,NO,995,31,995.5,1905,52.3,0,-164.95
14003,NAVAJO,14010,NAVMOE11,1,Closed,Line,NO,672.8,-26,673.3,2198,30.6,3.38,-80.91
14003,NAVAJO,14019,NAVDUG11,1,Closed,Series Cap,NO,487.1,-69,492,1516,34.7,0,-42.45
14003,NAVAJO,15981,NAVAJO 1,1,Closed,Transformer,YES,-745.6,91.8,751.3,924,81.3,1.36,84.92
14003,NAVAJO,15982,NAVAJO 2,1,Closed,Transformer,YES,-744.7,91.3,750.3,924,81.2,1.3,84.17
14003,NAVAJO,15983,NAVAJO 3,1,Closed,Transformer,YES,-745.6,91.8,751.3,924,81.3,1.36,85.44
14003,NAVAJO,26128,NAVCRY11,1,Closed,Series Cap,NO,1076.1,-179.9,1091,1947,56,0,-260.63
14004,SAGUARO,14005,WESTWING,99,Closed,Line,NO,-2.9,-1.9,3.5,0,0,0.01,0.22
14012,CHOSAG11,14004,SAGUARO,1,Closed,Line,NO,733.4,-72,736.9,2047,36,11.16,-150.11
14004,SAGUARO,15011,KYRENE,99,Closed,Line,NO,-3.5,-3.8,5.1,0,0,0,0.12
14004,SAGUARO,15041,SILVERKG,99,Closed,Line,NO,-2.8,-0.9,2.9,0,0,0,0.16
14004,SAGUARO,15051,BROWNING,99,Closed,Line,NO,-1.7,-1.6,2.3,0,0,0.01,0.07
14004,SAGUARO,15061,RUDD,99,Closed,Line,NO,-4.4,-2.5,5.1,0,0,0.01,0.36
14004,SAGUARO,15080,PINAL_C,99,Closed,Line,NO,-17.5,-14.5,22.7,0,0,0.1,1.15
14004,SAGUARO,15087,DUKE,99,Closed,Line,NO,-23.6,-15.6,28.2,0,0,-0.06,1.86
14004,SAGUARO,15142,DBG-ST1,99,Closed,Line,NO,-12.7,3.7,13.2,0,0,0.01,0.96
14004,SAGUARO,16000,TORTOLIT,1,Closed,Line,NO,305.8,-3.3,305.8,1093,28,0.03,0.27
14004,SAGUARO,16000,TORTOLIT,2,Closed,Line,NO,305.8,-3.3,305.8,1093,28,0.03,0.27
14004,SAGUARO,16001,TORTLIT2,1,Open,Line,NO,0,0,0,1093,0,0,0
14004,SAGUARO,17005,BICKNELL,99,Closed,Line,NO,8.4,-0.4,8.4,0,0,0.05,0.79
14004,SAGUARO,19053,LIBERTY,99,Closed,Line,NO,-0.6,-0.2,0.7,0,0,0,0.01
14004,SAGUARO,79053,PINPKBRB,99,Closed,Line,NO,-0.1,1.3,1.4,0,0,0,0.02
14005,WESTWING,14006,YAVAPAI,99,Closed,Line,NO,-0.8,0,0.8,0,0,0,0.01
14005,WESTWING,14007,GILARIVR,99,Closed,Line,NO,-21.7,1.6,21.7,0,0,0.23,2.75
14005,WESTWING,14011,MORGAN,1,Closed,Line,NO,349.4,-115.8,368.1,2390,15.4,0.11,-14.17
14005,WESTWING,14011,MORGAN,99,Closed,Line,NO,11,-2.6,11.2,0,0,0,0.07
14013,YAVWES11,14005,WESTWING,1,Closed,Series Cap,NO,222.2,150,268.1,1515,17.7,0,-6.82
14005,WESTWING,14016,PNPKAPS,99,Closed,Line,NO,36.9,-3,37,0,0,-0.01,1.35
14005,WESTWING,14102,PNPKAPS,99,Closed,Line,NO,85.4,71.1,111.1,0,0,-0.17,8.69
14005,WESTWING,14968,WPCC5ST1,99,Closed,Line,NO,-11.9,1.2,12,0,0,-0.03,0.54
14005,WESTWING,15011,KYRENE,99,Closed,Line,NO,36.3,21.8,42.3,0,0,-0.01,1.68
15021,PALOVRDE,14005,WESTWING,1,Closed,Line,NO,1066.6,-2.7,1066.6,2618.9,40.7,4.06,-3.19
15021,PALOVRDE,14005,WESTWING,2,Closed,Line,NO,1066.6,-2.7,1066.6,2618.9,40.7,4.06,-3.22
15034,PERKINS,14005,WESTWING,1,Closed,Line,NO,-306.1,165.1,347.8,2598,13.4,0,1.08
14005,WESTWING,15041,SILVERKG,99,Closed,Line,NO,-0.1,2,2,0,0,0,0.04
14005,WESTWING,15051,BROWNING,99,Closed,Line,NO,3.7,1.7,4.1,0,0,0,0.14
14005,WESTWING,15061,RUDD,99,Closed,Line,NO,-19.6,-0.6,19.7,0,0,-0.01,0.17
14005,WESTWING,15080,PINAL_C,99,Closed,Line,NO,1,0,1,0,0,0,0.02
14005,WESTWING,15087,DUKE,99,Closed,Line,NO,-0.4,0.3,0.5,0,0,0,0
14005,WESTWING,15926,SANTN 5S,99,Closed,Line,NO,5.9,5.7,8.2,0,0,-0.03,0.68
14005,WESTWING,16107,WESTWING,99,Closed,Line,NO,32.3,329.4,330.9,0,0,0.17,12.89
14005,WESTWING,19053,LIBERTY,99,Closed,Line,NO,39.2,36.9,53.9,0,0,-0.09,2.88
14005,WESTWING,79053,PINPKBRB,99,Closed,Line,NO,108.3,131.4,170.2,0,0,-0.15,12.29
14006,YAVAPAI,14013,YAVWES11,1,Closed,Line,NO,222.7,5.2,222.7,2054,13.1,0.44,-144.84
14014,CEDARMT,14006,YAVAPAI,1,Closed,Line,NO,466.4,-33.6,467.6,2390,19.6,1.06,-76.57
14006,YAVAPAI,14016,PNPKAPS,99,Closed,Line,NO,3.3,0,3.3,0,0,-0.01,0.17
14006,YAVAPAI,14018,DUGAS,99,Closed,Line,NO,-2.6,-0.6,2.7,0,0,0,0.05
14006,YAVAPAI,14100,CHOLLA,99,Closed,Line,NO,-31.4,9.3,32.8,0,0,0.3,4.33
14006,YAVAPAI,14102,PNPKAPS,99,Closed,Line,NO,4.6,3.2,5.6,0,0,-0.01,0.51
14006,YAVAPAI,19313,GRIFFTH3,99,Closed,Line,NO,-10.8,2.9,11.2,0,0,0.12,2.03
14006,YAVAPAI,19315,PEACOCK,99,Closed,Line,NO,4.5,7.9,9.1,0,0,0,0.33
14006,YAVAPAI,79024,FLAGSTAF,99,Closed,Line,NO,2,7.6,7.8,0,0,-0.01,0.34
14006,YAVAPAI,79053,PINPKBRB,99,Closed,Line,NO,10.1,10.1,14.3,0,0,-0.05,1.2
14007,GILARIVR,14802,GIL-ST1,1,Closed,Transformer,YES,0.3,0.3,0.4,315,0.1,0.26,0.34
14007,GILARIVR,14805,GIL-ST2,1,Closed,Transformer,YES,-228.7,-26.4,230.2,315,75,0.67,29.87
14007,GILARIVR,14808,GIL-ST3,1,Closed,Transformer,YES,-228.7,-26.3,230.2,315,75,0.66,29.93
14007,GILARIVR,14811,GIL-ST4,1,Closed,Transformer,YES,-228.7,-26.1,230.2,315,75,0.67,30.01
14007,GILARIVR,15011,KYRENE,99,Closed,Line,NO,11.3,1.9,11.4,0,0,0.16,1.83
14007,GILARIVR,15061,RUDD,99,Closed,Line,NO,33.6,2.5,33.7,0,0,0.25,3.94
15089,JOJOBA,14007,GILARIVR,1,Closed,Line,NO,-751.5,-109.2,759.4,2598,29.2,0.92,-23.88
15089,JOJOBA,14007,GILARIVR,2,Closed,Line,NO,-752,-109.2,759.9,2598,29.3,0.92,-23.74
14007,GILARIVR,19053,LIBERTY,99,Closed,Line,NO,66.1,20.6,69.3,0,0,0.47,11.73
14009,REDHAWK,14982,RED-ST1,99,Closed,Line,NO,-178.4,63.4,189.3,0,0,0.36,19.65
14009,REDHAWK,14983,RED-ST2,99,Closed,Line,NO,-181.2,63.9,192.1,0,0,0.4,20.28
15090,HASSYAMP,14009,REDHAWK,1,Closed,Line,NO,-409.3,-31.3,410.5,3479,11.8,0.02,0.38
15090,HASSYAMP,14009,REDHAWK,2,Closed,Line,NO,-409.3,-31.3,410.5,3479,11.8,0.02,0.38
14016,PNPKAPS,14011,MORGAN,1,Closed,Line,NO,-574.5,42.1,576.1,2598,22.4,0.72,-45.73
14011,MORGAN,14016,PNPKAPS,99,Closed,Line,NO,4.2,-0.3,4.2,0,0,0,0.13
14018,DUGAS,14011,MORGAN,1,Closed,Line,NO,411.7,-19.4,412.2,2390,17.3,0.76,-73.88
14011,MORGAN,14102,PNPKAPS,99,Closed,Line,NO,8.2,7.2,10.9,0,0,0.02,0.81
