Sub Num,Sub Name,Sub ID,Latitude,Longitude,Nominal kV(max)
337412313,Flagstaff,3337412313,35.18,-111.39,345
337412334,Flathead,3337412334,48.29,-114.24,230
337412524,Fort St. Vrain,3337412524,40.24,-104.87,22
337412544,Foster,3337412544,44.41,-122.67,4.2
337412567,Four Corners (AZPS),3337412567,36.69,-108.49,500
337412618,Franklin,3337412618,46.23,-119.04,230
337412666,Fredonia (PSPL),3337412666,48.56,-122.33,230
337412707,Frenchman Hills (USBR),3337412707,46.95,-119.58,230
337413143,Fry,3337413143,44.59,-123.04,230
337413273,Gardner (NEVP),3337413273,36.66,-114.64,24
337413294,Garrison,3337413294,46.51,-112.89,500
337413317,Gates Peaker,3337413317,36.14,-120.13,500
337413318,Gateway,3337413318,31.36,-110.96,345
337413367,Genesee,3337413367,53.35,-114.31,500
337413448,Gila River Power Station,3337413448,32.99,-112.68,500
337413461,Dry Fork Station,3337413461,44.29,-105.5,19
337413488,Glade,3337413488,46.33,-119.12,115
337413510,Glen Canyon,3337413510,36.93,-111.49,345
337413522,Glenannan,3337413522,54.05,-124.67,500
337413533,Glendale,3337413533,39.52,-119.73,230
337413634,Gonder,3337413634,39.35,-114.85,345
337413640,Goodnoe,3337413640,45.79,-120.56,230
337413667,Gordon M. Shrum,3337413667,56.01,-122.2,500
337413681,Gorge (SCL),3337413681,48.7,-121.21,230
337413691,Goshen,3337413691,43.31,-112.12,345
337413733,Gramercy,3337413733,33.95,-118.31,500
337413746,Grand Coulee,3337413746,47.95,-119,500
337413764,Grand Junction (UTE),3337413764,39.05,-108.41,345
337413829,Grants Pass,3337413829,42.45,-123.28,230
337413854,Grays Harbor Energy Facility,3337413854,47,-123.48,230
337413909,Green Peter,3337413909,44.45,-122.55,13.8
337413922,Green Springs,3337413922,42.12,-122.51,4.2
337413928,Green Valley,3337413928,43.42,-123.36,230
337413956,Greenlee,3337413956,32.97,-109.17,345
337414013,Gresham,3337414013,45.49,-122.46,230
337414031,Griffith Energy Project,3337414031,35.01,-114.14,18
337414038,Grizzly Power,3337414038,44.48,-121.02,500
337414065,Guadalupe,3337414065,35.1,-105.02,345
337414242,Hanford,3337414242,46.67,-119.57,500
337414255,Hanna,3337414255,42.94,-123.42,230
337414273,Happy Valley,3337414273,43.55,-116.51,230
337414330,Harquahala Valley,3337414330,33.48,-113.11,500
337414354,Harrison,3337414354,39.74,-104.94,115
337414364,Harry Allen,3337414364,36.43,-114.9,500
337414395,Harvalum,3337414395,45.73,-120.71,230
337414409,Haskill,3337414409,48.11,-114.64,230
337414411,Hassayampa,3337414411,33.35,-112.85,500
337414421,Hat Rock,3337414421,45.92,-119.11,230
337414433,Hatwai,3337414433,46.47,-116.91,500
337414471,Hayden,3337414471,40.49,-107.19,22
337414479,Haynes Generating Station,3337414479,33.76,-118.1,18
337414608,Hermiston Power Project,3337414608,45.79,-119.31,500
337414625,Hesperus,3337414625,37.18,-108.02,345
337414631,Hi Desert,3337414631,34.14,-116.18,20
337414645,Hidalgo,3337414645,32.4,-108.6,345
337414722,Hills Creek,3337414722,43.71,-122.42,6.9
337414741,Hilltop,3337414741,41.51,-120.63,345
337414882,Hoover AZ,3337414882,36.01,-114.74,16.5
337414883,Hoover NV,3337414883,36.02,-114.74,16.5
337414906,Hopkins Ridge,3337414906,46.46,-117.86,0.7
337414923,Horse Heaven,3337414923,45.93,-119.63,230
337414947,Hot Springs,3337414947,47.58,-114.63,500
337415022,Humboldt,3337415022,41.23,-115.93,345
337415035,Hungry Horse,3337415035,48.34,-114.02,230
337415041,Hunter Plant,3337415041,39.18,-111.03,345
337415054,Huntington,3337415054,39.38,-111.09,345
337415096,Hyder,3337415096,33.02,-113.33,500
337415125,Ice Harbor,3337415125,46.25,-118.88,13.8
337415166,Imperial Valley (Drew),3337415166,32.72,-115.71,500
337415231,Ingledow,3337415231,49.16,-122.86,500
337415240,Inland Empire Energy,3337415240,33.74,-117.17,500
337415252,Intalco,3337415252,48.85,-122.7,230
337415260,Intermountain Generating,3337415260,39.5,-112.58,345
337415306,Iron Gate,3337415306,41.93,-122.44,6.6
337415342,Island Cogeneration Project,3337415342,49.96,-125.35,21
337415400,J.C. Boyle,3337415400,42.09,-122.08,230
337415440,Jackson Hydroelectric #2157,3337415440,47.97,-121.69,13.8
337415584,John Day Ph,3337415584,45.71,-120.69,500
337415612,Johnston,3337415612,42.84,-105.78,22
337415619,Jojoba,3337415619,33.23,-112.62,500
337415765,Kayenta,3337415765,36.77,-110.25,345
337415779,Keeler,3337415779,45.55,-122.89,500
337415785,Keephills,3337415785,53.45,-114.45,500
