Bus Number,Bus Name,Sub ID,Sub Name
40813,PARKDALE,3337420356,Parkdale
40821,PAUL,3337420435,Paul
40824,PEARL E,3337420488,Pearl
40826,PEARL W,3337420488,Pearl
40827,PEARL,3337420488,Pearl
40834,PONDROSB,3337421061,Ponderosa
40836,PONDROSN,3337421061,Ponderosa
40837,PONDROSA,3337421061,Ponderosa
40838,PONDROSS,3337421061,Ponderosa
40839,PORT AN2,3337421090,Port Angeles
40845,PORT ANG,3337421090,Port Angeles
40851,POTHOLES,3337421174,Potholes
40867,RATTLE S,3337421603,Rattlesnake Switchyard
40869,RAVER,3337421613,Raver
40875,RDMND_E,3337427914,Redmond
40876,RDMND_W,3337427914,Redmond
40881,RESTN TP,3337421788,Reston
40883,RESTON,3337421788,Reston
40891,ROCKY RH,3337422187,Rocky Reach
40892,MAPROC11,3337422187,Rocky Reach
40895,ROGUE,3337422206,Rogue
40896,FAIROG11,3337412090,Fairview
40899,ROSS,3337422285,J.D. Ross
40901,ROSS,3337422285,J.D. Ross
40902,MCNROS11,3337417877,McNary
40904,MCNROS12,3337422285,J.D. Ross
40905,ROUNDUP,3337422319,Roundup
40909,SACHEEN,3337422525,Sacheen
40913,SACJAWEA,3337422524,Sacajawea
40917,SACJWA T,3337422524,Sacajawea
40923,SALEM,3337422637,Salem
40937,SANT TAP,3337422861,Santiam
40939,SANTIAM,3337422861,Santiam
40940,CHESAN11,3337422861,Santiam
40941,SANTIAM,3337422861,Santiam
40947,SATSOP,3337422900,Satsop
40949,SATSOP,3337422900,Satsop
40957,SCHULTZ,3337422960,Schultz
40958,COUSCH11,3337422960,Schultz
40960,COUSCH12,3337422960,Schultz
40961,COUSCH21,3337422960,Schultz
40962,COUSCH22,3337422960,Schultz
40963,HRTAP MS,30004298,Horseranch
40964,ECHSCH11,3337411565,Echo Lake
40966,ECHSCH12,3337411565,Echo Lake
40970,ECHSCH13,3337422960,Schultz
40971,SHELTON,3337423244,Shelton
40972,RAVSCH11,3337421613,Raver
40973,SICKLER,3337423346,Sickler
40974,RAVSCH12,3337422960,Schultz
40975,SIFT TP1,3337423364,Sifton
40976,RAVSCH31,3337423081,Selle
40977,SIFT TP2,3337423364,Sifton
40978,RAVSCH41,3337423081,Selle
40981,SIFTON 1,3337423364,Sifton
40983,SIFTON 2,3337423364,Sifton
40986,SLATT,3337423497,Slatt
40987,SILVR CK,3337423386,Silver Creek
40989,SLATT,3337423497,Slatt
40993,SNOHOMS3,3337423568,Snohomish
40994,SNOHOMS4,3337423568,Snohomish
40996,BUCSLA11,3337423568,Snohomish
40997,CHISNO31,,
40998,CHISNO41,,
41001,SNOK TAP,3337423567,Sno-king
41004,SNOK S1,3337423567,Sno-king
41005,MAPSNO21,3337423567,Sno-king
41006,SNOK S2,3337423567,Sno-king
41007,SNOKING,3337423567,Sno-king
41008,SNOK S3,3337423567,Sno-king
41016,MAPSNO22,3337423567,Sno-king
41020,MAPSNO11,3337423567,Sno-king
