Sub ID,Sub Name,Bus Number,Bus Name,Area Name,Nom kV
3337414038,Grizzly Power,40710,GRIMAL26,NORTHWEST,500
3337417861,Mcloughlin,40711,ECHMAP11,NORTHWEST,500
3337417523,Maple Valley,40712,ECHMAP12,NORTHWEST,500
3337406231,Alvey,40714,ALVMAR11,NORTHWEST,500
3337406571,Ashe,40716,ASHMAR21,NORTHWEST,500
3337406571,Ashe,40718,ASHMAR22,NORTHWEST,500
3337406571,Ashe,40719,ASHMAR23,NORTHWEST,500
3337408209,Buckley,40720,BUCMAR11,NORTHWEST,500
3337417877,McNary,40721,MCNARY,NORTHWEST,345
3337415584,John Day Ph,40722,JOHMAR11,NORTHWEST,500
3337417877,McNary,40723,MCNARY,NORTHWEST,500
3337418498,Monroe,40747,MONROE,NORTHWEST,230
3337418498,Monroe,40749,MONROE,NORTHWEST,500
3337409315,Chief Joseph,40750,CHIMON11,NORTHWEST,500
3337418498,Monroe,40751,MONROE T,NORTHWEST,230
3337410472,Custer,40752,CUSMON11,NORTHWEST,500
3337410472,Custer,40754,CUSMON21,NORTHWEST,500
3337418877,Murray,40767,MURRAY,NORTHWEST,230
3353097789,Napavine,40774,NAPAVINE,NORTHWEST,500
3337419718,Noxon Rapids,40787,NOXONBPA,NORTHWEST,230
3337416431,Lancaster,40788,LANNOX11,NORTHWEST,230
3337419946,Olympia,40792,OLY W,NORTHWEST,230
3337419946,Olympia,40793,OLYMPIA,NORTHWEST,230
3337419946,Olympia,40794,OLY E,NORTHWEST,230
3337419946,Olympia,40795,OLYMPIA,NORTHWEST,300
3337419718,Noxon Rapids,40796,LIBNOX11,NORTHWEST,230
3337419946,Olympia,40797,OLYMPIA,NORTHWEST,500
3337419946,Olympia,40798,COUOLY11,NORTHWEST,300
3337419946,Olympia,40800,COUOLY12,NORTHWEST,300
3337419946,Olympia,40802,COUOLY13,NORTHWEST,300
3337419946,Olympia,40804,COUOLY14,NORTHWEST,300
3337420092,Ostrander,40809,OSTRNDER,NORTHWEST,500
3337420092,Ostrander,40810,OSTRNDER,NORTHWEST,230
3337420356,Parkdale,40813,PARKDALE,NORTHWEST,230
3337420435,Paul,40821,PAUL,NORTHWEST,500
3337420488,Pearl,40824,PEARL E,NORTHWEST,230
3337420488,Pearl,40826,PEARL W,NORTHWEST,230
3337420488,Pearl,40827,PEARL,NORTHWEST,500
3337421061,Ponderosa,40834,PONDROSB,NORTHWEST,500
3337421061,Ponderosa,40836,PONDROSN,NORTHWEST,230
3337421061,Ponderosa,40837,PONDROSA,NORTHWEST,500
3337421061,Ponderosa,40838,PONDROSS,NORTHWEST,230
3337421090,Port Angeles,40839,PORT AN2,NORTHWEST,230
3337421090,Port Angeles,40845,PORT ANG,NORTHWEST,230
3337421174,Potholes,40851,POTHOLES,NORTHWEST,230
3337421603,Rattlesnake Switchyard,40867,RATTLE S,NORTHWEST,230
3337421613,Raver,40869,RAVER,NORTHWEST,500
3337427914,Redmond,40875,RDMND_E,NORTHWEST,230
3337427914,Redmond,40876,RDMND_W,NORTHWEST,230
3337421788,Reston,40881,RESTN TP,NORTHWEST,230
3337421788,Reston,40883,RESTON,NORTHWEST,230
3337422187,Rocky Reach,40891,ROCKY RH,NORTHWEST,345
3337422187,Rocky Reach,40892,MAPROC11,NORTHWEST,345
3337422206,Rogue,40895,ROGUE,NORTHWEST,230
3337412090,Fairview,40896,FAIROG11,NORTHWEST,230
3337422285,J.D. Ross,40899,ROSS,NORTHWEST,230
3337422285,J.D. Ross,40901,ROSS,NORTHWEST,345
3337417877,McNary,40902,MCNROS11,NORTHWEST,345
3337422285,J.D. Ross,40904,MCNROS12,NORTHWEST,345
3337422319,Roundup,40905,ROUNDUP,NORTHWEST,230
3337422525,Sacheen,40909,SACHEEN,NORTHWEST,230
