Substation,,,,,,,,,,,,,,
Sub Num,Sub Name,Sub ID,Area Name,Zone Name,# of Buses,Nominal kV(max),Latitude,Longitude,Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
30004107,Marcola,30004107,NORTHWEST,Western Oregon,2,230,44.19,-122.84,,,11.6,3.8,,
30004129,Baldi,30004129,NORTHWEST,S.KINGI,1,230,47.21,-121.69,,,1.04,0.69,,
30004132,Klahanie,30004132,NORTHWEST,N.KING,2,230,47.57,-122.12,,,23.65,0.41,,
30004298,Horseranch,30004298,NORTHWEST,N.KING,5,230,48,-122.11,,,,,,
30004317,DAE,30004317,,,0,0,32.43,-115.06,,,,,,
30004351,Terrell Creek,30004351,NORTHWEST,WHATCOM,4,115,48.83,-122.53,267.2,134.06,,,129.64,-24.48
30004496,Novelty,30004496,NORTHWEST,"Seattle Area, Olympic Peninsula",2,230,47.69,-121.85,,,,,249.74,-56.41
30004598,Simpson,30004598,NORTHWEST,Tacoma Power - General,2,115,47.29,-122.33,64,0,47.2,11.8,433.37,-37.01
30004744,Port Lud,30004744,,,0,0,47.93,-122.71,,,,,,
30004745,Kearney,30004745,,,0,0,48.1,-122.84,,,,,,
30004746,Hastings,30004746,,,0,0,48.12,-122.83,,,,,,
30004948,Gold Creek,30004948,,,0,0,46.47,-112.76,,,,,,
30004965,Verona,30004965,,,0,0,48.14,-110.74,,,,,,
30004967,Malmstrom,30004967,,,0,0,47.49,-111.15,,,,,,
30004969,Nornford Pump,30004969,,,0,0,47.42,-110.79,,,,,,
30004986,Clancy,30004986,,,0,0,46.51,-111.85,,,,,,
30004997,Morel,30004997,,,0,0,46.18,-112.81,,,,,,
30005004,Cobblestone,30005004,,,0,0,45.7,-111.89,,,,,,
30005009,Mayflower,30005009,,,0,0,45.83,-112.45,,,,,,
30005035,Grand Avenue,30005035,,,0,0,45.78,-108.63,,,,,,
30005176,Lone Tree,30005176,,,0,0,40.42,-105.04,,,,,,
30005224,Fairview,30005224,,,0,0,38.82,-104.9,,,,,,
30005566,Cal Gen,30005566,,,0,0,35.86,-117.86,,,,,,
30005786,EMND,30005786,,,0,0,31.43,-116.5,,,,,,
30050385,Zinzer,30050385,,,0,0,37.55,-106.09,,,,,,
30050805,Fairview,30050805,,,0,0,46.5,-122.97,,,,,,
32000005,Sonora,32000005,,,0,0,32.72,-114.52,,,,,,
32000111,Duck,32000111,,,0,0,45.85,-110.29,,,,,,
32000112,Elmar,32000112,,,0,0,46.89,-114.12,,,,,,
32000113,Front,32000113,,,0,0,46.85,-109.94,,,,,,
32000114,Shiloh,32000114,,,0,0,45.77,-108.61,,,,,,
32000115,Stillwater,32000115,,,0,0,45.81,-109.33,,,,,,
32000119,Hackamore,32000119,,,0,0,41.57,-121.08,,,,,,
32000255,Sulphur,32000255,NORTHWEST,Lower Columbia Basin,1,230,46.33,-119.94,,,,,87.98,8.62
32008816,Jones Canyon,32008816,NORTHWEST,Lower Columbia Basin,1,230,45.65,-120.14,,,,,0.01,28.58
32008844,Dry Creek,32008844,,,0,0,51.28,-114,,,,,,
32008871,Keenesburg,32008871,,,0,0,40.1,-104.56,,,,,,
32008880,Lakeside,32008880,NORTHWEST,Western Montana,1,230,47.92,-114.27,,,7.6,2.5,,
32008906,Spring Creek,32008906,NORTHWEST,Lower Columbia Basin,1,230,45.86,-120.5,,,,,,
32008920,Wind Ridge,32008920,NORTHWEST,N.KING,1,230,47.02,-120.19,,,,,19.31,-45.12
32008950,Rock Creek,32008950,NORTHWEST,Lower Columbia Basin,2,500,45.91,-120.61,,,,,0,0
32008973,Terre View,32008973,,,0,0,46.81,-117.13,,,,,,
52000065,WF-EQ,No idea,,,0,0,32.57,-114.68,,,,,,
52000096,Schnebly,Found Coulee,NORTHWEST,N.KING,1,230,46.94,-119.99,,,,,0,2.89
52000097,Poison Spring,Found Road,NORTHWEST,N.KING,1,230,46.95,-120.23,,,,,,
52000098,Linden,No idea,NORTHWEST,Lower Columbia Basin,2,230,45.75,-120.61,,,,,0,9.28
52000101,Fidler,No idea,,,0,0,49.66,-113.74,,,,,,
52000115,Wood Creek,no idea,,,0,0,45.81,-120.16,,,,,,
52000116,Juniper,No idea,NORTHWEST,Lower Columbia Basin,1,230,45.9,-120.27,,,,,0,-6.24
52000117,Antelope Rd.,No idea,,,0,0,45.32,-118.19,,,,,,
52000118,Central Ferry,Found Sub,NORTHWEST,Southeast Washington,2,500,46.6,-117.81,,,,,0,0
52000119,Phalen Gulcn,Found Sub,NORTHWEST,Southeast Washington,1,230,46.57,-117.83,,,,,0,6.99
52000120,Dodge Junction,Found Junction Town,NORTHWEST,Southeast Washington,1,230,46.52,-117.82,,,,,0,8.63
52000131,Knight,Found on WECC map,NORTHWEST,Portland Area,3,500,46.1,-120.86,,,,,,
52000159,Mont.,No idea,,,0,0,45.68,-120.14,,,,,,
52000171,Norpac,No idea,NORTHWEST,"Cowlitz County, WA",2,230,46.16,-123.01,,,193.6,94.9,0,56.69
52000184,Jump Creek,Sub52000184,,,0,0,51.2,-114.39,,,,,,
52000197,High,No idea,,,0,0,55.06,-116.42,,,,,,
52000205,Dupont,No idea,,,0,0,32.8,-114.45,,,,,,
52000248,Mat Wind,No idea,,,0,0,48.72,-112.23,,,,,,
52000254,Highwood,No idea,,,0,0,47.58,-110.79,,,,,,
52000255,Hillcrest,No idea,,,0,0,45.69,-108.58,,,,,,
52000256,Groveland,Found City,,,0,0,46.43,-110.39,,,,,,
52000257,Garden,No idea,,,0,0,46.4,-110.52,,,,,,
52000314,Lake,No idea,,,0,0,55.4,-111.62,,,,,,
52000372,Meadowlark,No idea,,,0,0,33.07,-117.14,,,,,,
52000381,Dogrib,No idea,,,0,0,56.86,-111.61,,,,,,
64000007,Miller,64000007,NORTHWEST,Lower Columbia Basin,1,230,45.89,-120.46,,,,,,
64000052,Blanco/Turly,64000052,,,0,0,36.73,-107.8,,,,,,
101270920,Cruz Alta (evi),1.01271E+12,,,0,0,36.39,-105.58,,,,,,
140020935,Palm Valley (evi),1.40021E+12,,,0,0,33.48,-112.43,,,,,,
140800901,Pinal Central- Abel (evi),1.40801E+12,,,0,0,33.15,-111.47,,,,,,
180230920,Spectrum Nevada Solar Plant (evi),1.80231E+12,,,0,0,36.23,-114.87,,,,,,
201110935,VPU (evi),2.01111E+12,,,0,0,32.33,-115.34,,,,,,
201110940,SMN (evi),2.01111E+12,,,0,0,30.49,-116.12,,,,,,
210160901,Panno (evi),2.10161E+12,,,0,0,32.96,-115.56,,,,,,
240010901,Wildlife (evi),2.40011E+12,,,0,0,33.96,-117.45,,,,,,
240740910,Colorado River (evi),2.40741E+12,,,0,0,33.61,-114.8,,,,,,
240740920,Wilderness (evi),2.40741E+12,,,0,0,33.96,-117.45,,,,,,
240740930,San Bernardino (evi),2.40741E+12,,,0,0,34.08,-117.24,,,,,,
240740955,Red Bluff (evi),2.40741E+12,,,0,0,33.7,-115.32,,,,,,
240740960,Kingbird Avenue Photovoltaic (AVPV) (evi),2.40741E+12,,,0,0,34.83,-118.41,,,,,,
240740965,Soleil (evi),2.40741E+12,,,0,0,34.94,-118.34,,,,,,
240740970,McCoy Solar Energy Project (evi),2.40741E+12,,,0,0,33.77,-114.75,,,,,,
240740975,Desert Harvest Solar Farm (evi),2.40741E+12,,,0,0,33.81,-115.4,,,,,,
240740980,NRG Alpine Solar Project (evi),2.40741E+12,,,0,0,34.8,-118.52,,,,,,
