Gen,,,,,,,,,,,,,,,,
Number of Bus,Name of Bus,Sub Name of Bus,Area Name of Bus,ID,Status,Gen MW,Gen Mvar,Set Volt,AGC,AVR,Min MW,Max MW,Min Mvar,Max Mvar,Cost Model,Part. Factor
43017,BEAVER,Beaver,NORTHWEST,6,Closed,55,5.02,1.018,YES,YES,0,60.7,-8,30,None,60.7
43019,BEAVER,Beaver,NORTHWEST,1,Closed,135,9.87,1.0172,YES,YES,0,143.8,-80,115,None,143.8
43047,BOARD F,Boardman (PGE),NORTHWEST,1,Closed,612,-79.07,1.08,YES,YES,0,642,-165,190,None,642
43111,COYO G1,Coyote Springs,NORTHWEST,1,Closed,168.5,77.27,1.056,YES,YES,0,177.7,-52,91.1,None,177.7
43119,COYO S1,Coyote Springs,NORTHWEST,1,Closed,79.3,40.9,1.056,YES,YES,0,79.3,-21.9,40.9,None,79.3
43407,PELTON,Pelton,NORTHWEST,1,Closed,35,7.97,1,YES,YES,0,36.6,-8.4,8.4,None,36.6
43407,PELTON,Pelton,NORTHWEST,2,Closed,35,7.97,1,YES,YES,0,36.7,-8.4,8.4,None,36.7
43407,PELTON,Pelton,NORTHWEST,3,Closed,35,7.97,1,YES,YES,0,36.7,-8.4,8.4,None,36.7
43486,ROUND B1,Round Butte,NORTHWEST,1,Closed,90,24.2,1,YES,YES,0,101.7,-30,37.5,None,101.7
43488,ROUND B2,Round Butte,NORTHWEST,2,Closed,90,20,1,YES,YES,0,101.6,-20,20,None,101.6
43490,ROUND B3,Round Butte,NORTHWEST,3,Closed,90,24.16,1,YES,YES,0,101.7,-30,37.5,None,101.7
43905,PORTW G1,Port Of Washington,NORTHWEST,1,Closed,246,110.29,1.049,YES,YES,0,312.3,-110,150,None,312.3
43907,PORTW S1,Port Of Washington,NORTHWEST,1,Closed,153,82,1.0479,YES,YES,0,171,-60,82,None,171
44001,BON 0102,Bonneville,NORTHWEST,01,Closed,40.9,16.86,1.05,YES,YES,0,46,-24.83,20.44,None,46
44001,BON 0102,Bonneville,NORTHWEST,02,Closed,40.9,16.86,1.05,YES,YES,0,46,-24.83,20.44,None,46
44002,BON 0304,Bonneville,NORTHWEST,03,Closed,57.8,7.87,1.04,YES,YES,0,66,-12.74,29.71,None,66
44002,BON 0304,Bonneville,NORTHWEST,04,Closed,57.8,7.87,1.04,YES,YES,0,66,-12.74,29.71,None,66
44003,BON 0506,Bonneville,NORTHWEST,05,Closed,57.8,7.87,1.04,YES,YES,0,66,-12.74,29.71,None,66
44003,BON 0506,Bonneville,NORTHWEST,06,Closed,57.8,7.87,1.04,YES,YES,0,66,-12.74,29.71,None,66
44004,BON 0708,Bonneville,NORTHWEST,07,Closed,57.8,7.87,1.04,YES,YES,0,66,-12.74,29.71,None,66
44004,BON 0708,Bonneville,NORTHWEST,08,Closed,57.8,7.87,1.04,YES,YES,0,66,-12.74,29.71,None,66
44005,BON 0910,Bonneville,NORTHWEST,09,Closed,57.8,13.49,1.05,YES,YES,0,66,-12.74,29.71,None,66
44005,BON 0910,Bonneville,NORTHWEST,10,Closed,57.8,13.49,1.05,YES,YES,0,66,-12.74,29.71,None,66
44006,BON 1112,Bonneville,NORTHWEST,11,Closed,66.8,9.84,1.04,YES,YES,0,76,-12.63,28.81,None,76
44006,BON 1112,Bonneville,NORTHWEST,12,Closed,66.8,9.84,1.04,YES,YES,0,76,-12.63,28.81,None,76
44007,BON 1314,Bonneville,NORTHWEST,13,Closed,66.8,9.84,1.04,YES,YES,0,76,-12.63,28.81,None,76
44007,BON 1314,Bonneville,NORTHWEST,14,Closed,66.8,9.84,1.04,YES,YES,0,76,-12.63,28.81,None,76
44007,BON 1314,Bonneville,NORTHWEST,F1,Closed,12,1.97,1.04,YES,YES,0,15.9,-4.9,4.9,None,15.9
44008,BON 1516,Bonneville,NORTHWEST,15,Closed,66.8,9.84,1.04,YES,YES,0,76,-12.63,28.81,None,76
44008,BON 1516,Bonneville,NORTHWEST,16,Closed,66,9.84,1.04,YES,YES,0,76,-13.42,29.21,None,76
44009,BON 1718,Bonneville,NORTHWEST,17,Closed,67,9.84,1.04,YES,YES,0,76,-12.43,28.72,None,76
44009,BON 1718,Bonneville,NORTHWEST,18,Closed,67,9.84,1.04,YES,YES,0,76,-12.43,28.72,None,76
44009,BON 1718,Bonneville,NORTHWEST,F2,Open,0,0,1.04,YES,YES,0,15.9,-4.9,4.9,None,15.9
44041,TDA 0102,The Dalles Ph,NORTHWEST,01,Closed,77.7,-7.77,1.04,YES,YES,0,90,-45.37,34.34,None,90
44041,TDA 0102,The Dalles Ph,NORTHWEST,02,Closed,77.7,-7.77,1.04,YES,YES,0,90,-45.37,34.34,None,90
44042,TDA 0304,The Dalles Ph,NORTHWEST,03,Closed,77.7,-7.77,1.04,YES,YES,0,90,-45.37,34.34,None,90
44042,TDA 0304,The Dalles Ph,NORTHWEST,04,Closed,77.7,-7.77,1.04,YES,YES,0,90,-45.37,34.34,None,90
44044,TDA 0708,The Dalles Ph,NORTHWEST,07,Closed,74.8,35.9,1.05,YES,YES,0,90,-49.94,35.9,None,90
44044,TDA 0708,The Dalles Ph,NORTHWEST,08,Closed,74.8,35.9,1.05,YES,YES,0,90,-49.94,35.9,None,90
44045,TDA 0910,The Dalles Ph,NORTHWEST,09,Closed,77,12.16,1.01,YES,YES,0,90,-46.46,34.71,None,90
44045,TDA 0910,The Dalles Ph,NORTHWEST,10,Closed,77,12.16,1.01,YES,YES,0,90,-46.46,34.71,None,90
44046,TDA 1112,The Dalles Ph,NORTHWEST,11,Closed,77.7,19.14,1.01,YES,YES,0,90,-45.37,34.34,None,90
44046,TDA 1112,The Dalles Ph,NORTHWEST,12,Open,0,0,1.01,YES,YES,0,90,-65.5,54,None,90
44047,TDA 1314,The Dalles Ph,NORTHWEST,13,Closed,77.7,24.14,1.05,YES,YES,0,90,-45.37,34.34,None,90
44047,TDA 1314,The Dalles Ph,NORTHWEST,14,Closed,77.7,24.14,1.05,YES,YES,0,90,-45.37,34.34,None,90
44048,TDA 1516,The Dalles Ph,NORTHWEST,15,Closed,85.7,24.14,1.05,YES,YES,0,99,-27.77,39.35,None,99
44048,TDA 1516,The Dalles Ph,NORTHWEST,16,Closed,85.7,24.14,1.05,YES,YES,0,99,-27.77,39.35,None,99
44049,TDA 1718,The Dalles Ph,NORTHWEST,17,Closed,85.7,24.14,1.05,YES,YES,0,99,-27.77,39.35,None,99
44049,TDA 1718,The Dalles Ph,NORTHWEST,18,Closed,86,24.14,1.05,YES,YES,0,99,-27.37,39.2,None,99
44050,TDA 1920,The Dalles Ph,NORTHWEST,19,Closed,85.7,24.14,1.05,YES,YES,0,99,-27.77,39.35,None,99
44050,TDA 1920,The Dalles Ph,NORTHWEST,20,Closed,85.7,24.14,1.05,YES,YES,0,99,-27.77,39.35,None,99
44051,TDA 2122,The Dalles Ph,NORTHWEST,21,Closed,86,24.14,1.05,YES,YES,0,99,-27.37,39.2,None,99
44051,TDA 2122,The Dalles Ph,NORTHWEST,22,Closed,86,24.14,1.05,YES,YES,0,99,-27.37,39.2,None,99
44071,JDA 0102,John Day Ph,NORTHWEST,01,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44071,JDA 0102,John Day Ph,NORTHWEST,02,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44072,JDA 0304,John Day Ph,NORTHWEST,03,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44072,JDA 0304,John Day Ph,NORTHWEST,04,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44073,JDA 0506,John Day Ph,NORTHWEST,05,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44073,JDA 0506,John Day Ph,NORTHWEST,06,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44074,JDA 0708,John Day Ph,NORTHWEST,07,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44074,JDA 0708,John Day Ph,NORTHWEST,08,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44075,JDA 0910,John Day Ph,NORTHWEST,09,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44075,JDA 0910,John Day Ph,NORTHWEST,10,Closed,139,-27.73,1.08,YES,YES,0,155,-60.91,59.94,None,155
44076,JDA 1112,John Day Ph,NORTHWEST,11,Closed,138.5,-27.73,1.08,YES,YES,0,155,-61.34,60.24,None,155
44076,JDA 1112,John Day Ph,NORTHWEST,12,Closed,139,-27.73,1.08,YES,YES,0,155,-60.91,59.94,None,155
44077,JDA 1314,John Day Ph,NORTHWEST,13,Closed,137.5,-27.73,1.08,YES,YES,0,155,-62.2,60.85,None,155
44077,JDA 1314,John Day Ph,NORTHWEST,14,Closed,137.5,-27.73,1.08,YES,YES,0,155,-62.2,60.85,None,155
44078,JDA 1516,John Day Ph,NORTHWEST,15,Open,0,0,1.08,YES,YES,0,155,-61.34,60.24,None,155
44078,JDA 1516,John Day Ph,NORTHWEST,16,Closed,137.5,-27.73,1.08,YES,YES,0,155,-62.2,60.85,None,155
44101,MCN 01,McNary,NORTHWEST,01,Closed,71.8,11.3,1.05,YES,YES,0,80,-41.08,27.32,None,80
44102,MCN 02,McNary,NORTHWEST,02,Closed,71.8,11.3,1.05,YES,YES,0,80,-41.08,27.32,None,80
44103,MCN 03,McNary,NORTHWEST,03,Closed,71.8,11.3,1.05,YES,YES,0,80,-41.08,27.32,None,80
44104,MCN 04,McNary,NORTHWEST,04,Closed,71.8,11.3,1.05,YES,YES,0,80,-41.08,27.32,None,80
44105,MCN 05,McNary,NORTHWEST,05,Closed,71.8,27.32,1.05,YES,YES,0,80,-41.08,27.32,None,80
44106,MCN 06,McNary,NORTHWEST,06,Closed,71.8,27.32,1.05,YES,YES,0,80,-41.08,27.32,None,80
44107,MCN 07,McNary,NORTHWEST,07,Closed,71.8,27.32,1.05,YES,YES,0,80,-41.08,27.32,None,80
44108,MCN 08,McNary,NORTHWEST,08,Closed,71.8,27.32,1.05,YES,YES,0,80,-41.08,27.32,None,80
44109,MCN 09,McNary,NORTHWEST,09,Closed,71.8,27.32,1.05,YES,YES,0,80,-41.08,27.32,None,80
44110,MCN 10,McNary,NORTHWEST,10,Closed,71.8,27.32,1.05,YES,YES,0,80,-41.08,27.32,None,80
44113,MCN 13,McNary,NORTHWEST,13,Closed,67.8,-40.94,1.03,YES,YES,0,80,-45.1,29,None,80
44114,MCN 14,McNary,NORTHWEST,14,Closed,67.8,-40.94,1.03,YES,YES,0,80,-45.1,30.5,None,80
44141,CHJ 0102,Chief Joseph,NORTHWEST,01,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44141,CHJ 0102,Chief Joseph,NORTHWEST,02,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44142,CHJ 0304,Chief Joseph,NORTHWEST,03,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44142,CHJ 0304,Chief Joseph,NORTHWEST,04,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44143,CHJ 0506,Chief Joseph,NORTHWEST,05,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44143,CHJ 0506,Chief Joseph,NORTHWEST,06,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44144,CHJ 0708,Chief Joseph,NORTHWEST,07,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44144,CHJ 0708,Chief Joseph,NORTHWEST,08,Closed,76.7,15.39,1.04,YES,YES,0,88,-36.34,34.45,None,88
44145,CHJ 0910,Chief Joseph,NORTHWEST,09,Closed,76.7,30.04,1.04,YES,YES,0,88,-36.34,34.45,None,88
44145,CHJ 0910,Chief Joseph,NORTHWEST,10,Closed,76.7,30.04,1.04,YES,YES,0,88,-36.34,34.45,None,88
44146,CHJ 1112,Chief Joseph,NORTHWEST,11,Closed,76.7,30.04,1.04,YES,YES,0,88,-36.34,34.45,None,88
44146,CHJ 1112,Chief Joseph,NORTHWEST,12,Closed,76.7,30.04,1.04,YES,YES,0,88,-36.34,34.45,None,88
