Bus,,,,,,,,,,,,,,,,,,
Number,Name,Sub ID,Sub Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
40972,RAVSCH11,3337421613,Raver,NORTHWEST,500,1.07619,538.093,-10.25,,,,337421613,,,0,0,40,400
40752,CUSMON11,3337410472,Custer,NORTHWEST,500,1.07557,537.787,-22.03,,,,337410472,,,0,0,40,400
41007,SNOKING,3337423567,Sno-king,NORTHWEST,500,1.0755,537.75,-21.87,,,,337423567,,,0,0,40,400
40974,RAVSCH12,3337422960,Schultz,NORTHWEST,500,1.075,537.5,-3.35,,,,337422960,,,0,0,40,400
40091,BELL BPA,3337407193,Bell,NORTHWEST,500,1.07453,537.266,3.5,,,,337407193,,,0,0,40,406
40754,CUSMON21,3337410472,Custer,NORTHWEST,500,1.07445,537.225,-22.4,,,,337410472,,,0,0,40,400
40970,ECHSCH13,3337422960,Schultz,NORTHWEST,500,1.07418,537.09,-3.8,,,,337422960,,,0,0,40,400
41066,DWOTAF12,3337413294,Garrison,NORTHWEST,500,1.07356,536.78,3.77,,,,337413294,,,0,0,40,407
40553,HOT SPR,3337414947,Hot Springs,NORTHWEST,500,1.07257,536.285,6.97,,,,337414947,,-171.18,0,0,40,486
40750,CHIMON11,3337409315,Chief Joseph,NORTHWEST,500,1.07159,535.796,-11.97,,,,337409315,,,0,0,40,403
40629,LANE,3337416446,Lane,NORTHWEST,500,1.06685,533.426,-30.51,,,,337416446,,,0,0,40,402
40601,KEELER,3337415779,Keeler,NORTHWEST,500,1.06433,532.163,-27.45,,,,337415779,,0,0,0,40,401
55615,HTHFIELD,,,ALBERTA,500,1.06152,530.76,-23.84,,,,,,123.95,1026.52,163.5,54,553
41064,DWOTAF11,3337424728,Taft,NORTHWEST,500,1.06107,530.535,1.24,,,,337424728,,,0,0,40,407
40045,ALLSTON,3337406167,Allston,NORTHWEST,500,1.06038,530.191,-23.89,,,,337406167,,,0,0,40,401
15021,PALOVRDE,3337420266,Palo Verde,ARIZONA,500,1.06,530,-22.08,,,,337420266,,,3801.27,1759.85,14,158
40774,NAPAVINE,3353097789,Napavine,NORTHWEST,500,1.05945,529.726,-21.26,,,,353097789,,,-8.99,295.42,40,400
54623,DCGEN_P1,,,ALBERTA,500,1.05898,529.492,-20.05,,,,,,0,758.91,883.4,54,560
45030,BURSUM11,3337408315,Burns,NORTHWEST,500,1.05802,529.011,-22.49,,,,337408315,,,0,0,40,405
47741,CENTR P1,3337409051,Centralia Switching Station,NORTHWEST,500,1.05651,528.253,-21.03,,,,337409051,,,0,0,40,400
47745,CENTR P2,3337409051,Centralia Switching Station,NORTHWEST,500,1.0565,528.251,-21,,,,337409051,,,0,0,40,400
40821,PAUL,3337420435,Paul,NORTHWEST,500,1.0565,528.249,-21.14,,,,337420435,,,163.56,-26.64,40,400
40323,CUSTER W,3337410472,Custer,NORTHWEST,500,1.05431,527.153,-27.07,,,,337410472,,0,0,0,40,400
40797,OLYMPIA,3337419946,Olympia,NORTHWEST,500,1.05377,526.887,-22.59,,,,337419946,,,0,0,40,400
41072,GARTAF21,3337413294,Garrison,NORTHWEST,500,1.0536,526.798,15.78,,,,337413294,,,0,0,40,486
41068,GARTAF11,3337424728,Taft,NORTHWEST,500,1.0536,526.798,15.78,,,,337424728,,,0,0,40,486
50206,CUSING11,3337410472,Custer,NORTHWEST,500,1.05212,526.059,-27.61,,,,337410472,,,2590.72,519.66,40,400
50208,CUSING21,3337410472,Custer,NORTHWEST,500,1.05207,526.033,-27.62,,,,337410472,,,2579.2,526.18,40,400
40949,SATSOP,3337422900,Satsop,NORTHWEST,500,1.01295,506.474,-22.16,,,,337422900,,,0,0,40,400
65385,BRIDGER,,,PACE,345,1.05,362.25,4.77,,,,,,220.5,990.87,482.8,65,651
40721,MCNARY,3337417877,McNary,NORTHWEST,345,1.04969,362.143,-9.13,,,,337417877,,,0,0,40,404
40902,MCNROS11,3337417877,McNary,NORTHWEST,345,1.04355,360.023,-16.55,,,,337417877,,,0,0,40,404
26043,INTERMT,3337415260,Intermountain Generating,LADWP,345,1.0434,359.973,-9.9,,,,337415260,,,2323.13,34.85,26,283
65510,EMERY,3337415041,Hunter Plant,PACE,345,1.037,357.765,-2.63,,,,337415041,,0,649.32,206.01,65,656
40225,CHIEF J4,3337409315,Chief Joseph,NORTHWEST,345,1.03642,357.565,-1.61,,,,337409315,,,0,0,40,403
40223,CHIEF J3,3337409315,Chief Joseph,NORTHWEST,345,1.03577,357.34,-1.79,,,,337409315,,,0,0,40,403
40891,ROCKY RH,3337422187,Rocky Reach,NORTHWEST,345,1.03544,357.226,-6.32,,,,337422187,,,0,0,40,403
40691,MAPLE VL,3337417523,Maple Valley,NORTHWEST,345,1.03474,356.984,-22.68,,,,337417523,,,0,0,40,400
40892,MAPROC11,3337422187,Rocky Reach,NORTHWEST,345,1.03369,356.623,-15.8,,,,337422187,,,0,0,40,400
40904,MCNROS12,3337422285,J.D. Ross,NORTHWEST,345,1.03208,356.067,-23.4,,,,337422285,,,0,0,40,404
65805,HUNTNGTN,3337415054,Huntington,PACE,345,1.032,356.04,-4.25,,,,337415054,,0,547.66,110.99,65,656
73108,LAR.RIVR,3337416477,Laramie River,WAPA R.M.,345,1.03,355.35,24.24,,,,337416477,,,371.29,217.35,73,753
10292,SAN_JUAN,3337422748,San Juan 345,NEW MEXICO,345,1.029,355.005,-11.59,,,,337422748,,,2373.42,393.46,10,100
40901,ROSS,3337422285,J.D. Ross,NORTHWEST,345,1.0247,353.522,-26.73,,,,337422285,,,0,0,40,401
60235,MIDPOINT,3337418158,Midpoint,IDAHO,345,1.0208,352.177,-20.27,,,,337418158,,-50.54,652.82,-743.18,60,613
40998,CHISNO41,,,NORTHWEST,345,1.02033,352.014,-11.54,,,,,,,0,0,40,403
40997,CHISNO31,,,NORTHWEST,345,1.02029,351.999,-11.72,,,,,,,0,0,40,403
79014,CRAIG,3337410259,Craig (TSGT),WAPA R.M.,345,1.02007,351.924,12.31,,,,337410259,,,507.15,187.96,73,791
40993,SNOHOMS3,3337423568,Snohomish,NORTHWEST,345,1.01834,351.326,-22.51,,,,337423568,,,0,0,40,400
40994,SNOHOMS4,3337423568,Snohomish,NORTHWEST,345,1.01776,351.127,-22.34,,,,337423568,,,0,0,40,400
40285,COULEE,3337413746,Grand Coulee,NORTHWEST,300,1.01665,304.995,2.03,,,,337413746,,,0,0,40,403
40798,COUOLY11,3337419946,Olympia,NORTHWEST,300,1.00665,301.994,-6.74,,,,337419946,,,0,0,40,400
40800,COUOLY12,3337419946,Olympia,NORTHWEST,300,1.00342,301.027,-9.74,,,,337419946,,,0,0,40,400
40802,COUOLY13,3337419946,Olympia,NORTHWEST,300,0.99871,299.613,-13.97,,,,337419946,,,0,0,40,400
